Series Name,Series Code,Country Name,Country Code,1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Colombia,COL,1507907130.44589,2436459923.42856,2541942612.20739,2133698124.14946,1720493455.49813,3115635873.52058,10235419011.1676,6750618034.74878,8885767539.67293,10564151395.4527,8034565809.71927,6429772237.74852,14646779979.4506,15039331646.0885,16209390068.2707,16167022827.2402,11723216758.3177,13850061983.7298,14013379725.6243,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Comoros,COM,271000,93636.11507504,1145914.99493433,430423.479313848,791465.102946359,671354.693890846,558643.248749362,777728.34585899,7681783.08246288,4631824.18450966,13784111.9489669,8342263.1250314,23088175.8019521,10375785.658299,4230442.06456108,4678330.4361,5146839.5062,8015624.66577563,8607994.46649785,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,"Congo, Dem. Rep.",COD,11160000,94190400,102221900,187598693.693694,391254723.550069,409032814.51248,180000000,256100000,1808000000,1726800000,-243200000,2742300000,1596024303.85686,2891607809.09542,1697585830.80626,1499572152.49797,1265374483.88029,822920447.345381,1053658066.1717,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,"Congo, Rep.",COG,538212550.239714,-97897925.1179687,-135361238.247372,199155450.954144,219545648.817082,88399286.0999307,800996241.640624,1487693084.45892,1422370639.41635,1940120150.91702,1184284700.65489,1520744890.62462,298288001.186385,-69253909.3686667,1878325499.2761,2887256932.11379,4278118364.98033,50574345.3391363,1158816776.11755,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Costa Rica,CRI,619469212,723426415.264239,621846413.159734,723172624.768835,774386239.764205,1083718486.49799,1528787464.115,1801002598.41588,2241492021.19677,2436112218.26755,1614614468.45234,1906923793.45078,2733268839.98155,2696295210.67893,3205384976.80294,3242149796.9724,2955521680.83967,2620435490.61534,2856006597.34999,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Cote d'Ivoire,CIV,323675947.635538,234701641.053396,272680081.703965,212629136.66552,165347467.486846,282979933.109701,348920761.502346,350652855.728047,443215533.117434,466489596.954486,396030773.972889,358118908.982355,301577298.55306,330274411.529178,407476278.301898,438772570.981003,494209964.321162,577479244.096434,674683759.473231,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Croatia,HRV,1452386278.07328,1056781254.72467,984168063.019211,953751427.253018,1826223974.97394,1293085521.96946,1794317620.12721,3299038091.69786,4567377358.86025,5187844808.8034,3198815037.16804,1424108328.1181,1417600259.48312,1465100044.52763,937309759.586375,3959857736.72732,158968737.615967,1864321647.92408,2040460130.73536,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Curacao,CUW,..,..,..,..,..,..,..,..,105698324.022346,146536312.849162,55251396.6480447,89329608.9385475,70502234.6368715,69702234.6368715,-1508379.88826815,69296089.3854749,146435754.189944,133083798.882682,172681564.24581,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Cyprus,CYP,813054280.084962,854874285.662108,944742873.957096,1103449726.13198,908147517.991038,1118841808.54651,1161973511.03819,1872392934.88876,2295454939.77526,2337953031.23866,2830582843.30053,13596805274.1596,-11920544949.5203,49600567279.3727,-6025166434.49989,-754354504.948983,8106710245.6904,8231019093.26128,11018805947.5812,..
